NEW
I:0 V:2 TV:4911
I:1 V:13 TV:3940
I:2 V:14 TV:4192
I:3 V:15 TV:4220
I:4 V:16 TV:4258
I:5 V:17 TV:4294
I:6 V:18 TV:4424
I:7 V:19 TV:4448
I:8 V:20 TV:4654
I:9 V:21 TV:4810
I:10 V:22 TV:4908
I:11 V:23 TV:4910
I:12 V:24 TV:2969
I:13 V:25 TV:3221
I:14 V:26 TV:3249
I:15 V:27 TV:3287
I:16 V:28 TV:3323
I:17 V:29 TV:3453
I:18 V:30 TV:3477
I:19 V:31 TV:3683
I:20 V:32 TV:3839
I:21 V:33 TV:3937
I:22 V:34 TV:3939
I:23 V:35 TV:3221
I:24 V:36 TV:3473
I:25 V:37 TV:3501
I:26 V:38 TV:3539
I:27 V:39 TV:3575
I:28 V:40 TV:3705
I:29 V:41 TV:3729
I:30 V:42 TV:3935
I:31 V:43 TV:4091
I:32 V:44 TV:4189
I:33 V:45 TV:4191
I:34 V:46 TV:3249
I:35 V:47 TV:3501
I:36 V:48 TV:3529
I:37 V:49 TV:3567
I:38 V:50 TV:3603
I:39 V:51 TV:3733
I:40 V:52 TV:3757
I:41 V:53 TV:3963
I:42 V:54 TV:4119
I:43 V:55 TV:4217
I:44 V:56 TV:4219
I:45 V:57 TV:3287
I:46 V:58 TV:3539
I:47 V:59 TV:3567
I:48 V:60 TV:3605
I:49 V:61 TV:3641
I:50 V:62 TV:3771
I:51 V:63 TV:3795
I:52 V:64 TV:4001
I:53 V:65 TV:4157
I:54 V:66 TV:4255
I:55 V:67 TV:4257
I:56 V:68 TV:3323
I:57 V:69 TV:3575
I:58 V:70 TV:3603
I:59 V:71 TV:3641
I:60 V:72 TV:3677
I:61 V:73 TV:3807
I:62 V:74 TV:3831
I:63 V:75 TV:4037
I:64 V:76 TV:4193
I:65 V:77 TV:4291
I:66 V:78 TV:4293
I:67 V:79 TV:3453
I:68 V:80 TV:3705
I:69 V:81 TV:3733
I:70 V:82 TV:3771
I:71 V:83 TV:3807
I:72 V:84 TV:3937
I:73 V:85 TV:3961
I:74 V:86 TV:4167
I:75 V:87 TV:4323
I:76 V:88 TV:4421
I:77 V:89 TV:4423
I:78 V:90 TV:3477
I:79 V:91 TV:3729
I:80 V:92 TV:3757
I:81 V:93 TV:3795
I:82 V:94 TV:3831
I:83 V:95 TV:3961
I:84 V:96 TV:3985
I:85 V:97 TV:4191
I:86 V:98 TV:4347
I:87 V:99 TV:4445
I:88 V:100 TV:4447
I:89 V:101 TV:3683
I:90 V:102 TV:3935
I:91 V:103 TV:3963
I:92 V:104 TV:4001
I:93 V:105 TV:4037
I:94 V:106 TV:4167
I:95 V:107 TV:4191
I:96 V:108 TV:4397
I:97 V:109 TV:4553
I:98 V:110 TV:4651
I:99 V:111 TV:4653
I:100 V:112 TV:3839
I:101 V:113 TV:4091
I:102 V:114 TV:4119
I:103 V:115 TV:4157
I:104 V:116 TV:4193
I:105 V:117 TV:4323
I:106 V:118 TV:4347
I:107 V:119 TV:4553
I:108 V:120 TV:4709
I:109 V:121 TV:4807
I:110 V:122 TV:4809
I:111 V:123 TV:3937
I:112 V:124 TV:4189
I:113 V:125 TV:4217
I:114 V:126 TV:4255
I:115 V:127 TV:4291
I:116 V:128 TV:4421
I:117 V:129 TV:4445
I:118 V:130 TV:4651
I:119 V:131 TV:4807
I:120 V:132 TV:4905
I:121 V:133 TV:4907
I:122 V:134 TV:3939
I:123 V:135 TV:4191
I:124 V:136 TV:4219
I:125 V:137 TV:4257
I:126 V:138 TV:4293
I:127 V:139 TV:4423
I:128 V:140 TV:4447
I:129 V:141 TV:4653
I:130 V:142 TV:4809
I:131 V:143 TV:4907
I:132 V:144 TV:4909
I:133 V:145 TV:1998
I:134 V:146 TV:2250
I:135 V:147 TV:2278
I:136 V:148 TV:2316
I:137 V:149 TV:2352
I:138 V:150 TV:2482
I:139 V:151 TV:2506
I:140 V:152 TV:2712
I:141 V:153 TV:2868
I:142 V:154 TV:2966
I:143 V:155 TV:2968
I:144 V:156 TV:2250
I:145 V:157 TV:2502
I:146 V:158 TV:2530
I:147 V:159 TV:2568
I:148 V:160 TV:2604
I:149 V:161 TV:2734
I:150 V:162 TV:2758
I:151 V:163 TV:2964
I:152 V:164 TV:3120
I:153 V:165 TV:3218
I:154 V:166 TV:3220
I:155 V:167 TV:2278
I:156 V:168 TV:2530
I:157 V:169 TV:2558
I:158 V:170 TV:2596
I:159 V:171 TV:2632
I:160 V:172 TV:2762
I:161 V:173 TV:2786
I:162 V:174 TV:2992
I:163 V:175 TV:3148
I:164 V:176 TV:3246
I:165 V:177 TV:3248
I:166 V:178 TV:2316
I:167 V:179 TV:2568
I:168 V:180 TV:2596
I:169 V:181 TV:2634
I:170 V:182 TV:2670
I:171 V:183 TV:2800
I:172 V:184 TV:2824
I:173 V:185 TV:3030
I:174 V:186 TV:3186
I:175 V:187 TV:3284
I:176 V:188 TV:3286
I:177 V:189 TV:2352
I:178 V:190 TV:2604
I:179 V:191 TV:2632
I:180 V:192 TV:2670
I:181 V:193 TV:2706
I:182 V:194 TV:2836
I:183 V:195 TV:2860
I:184 V:196 TV:3066
I:185 V:197 TV:3222
I:186 V:198 TV:3320
I:187 V:199 TV:3322
I:188 V:200 TV:2482
I:189 V:201 TV:2734
I:190 V:202 TV:2762
I:191 V:203 TV:2800
I:192 V:204 TV:2836
I:193 V:205 TV:2966
I:194 V:206 TV:2990
I:195 V:207 TV:3196
I:196 V:208 TV:3352
I:197 V:209 TV:3450
I:198 V:210 TV:3452
I:199 V:211 TV:2506
I:200 V:212 TV:2758
I:201 V:213 TV:2786
I:202 V:214 TV:2824
I:203 V:215 TV:2860
I:204 V:216 TV:2990
I:205 V:217 TV:3014
I:206 V:218 TV:3220
I:207 V:219 TV:3376
I:208 V:220 TV:3474
I:209 V:221 TV:3476
I:210 V:222 TV:2712
I:211 V:223 TV:2964
I:212 V:224 TV:2992
I:213 V:225 TV:3030
I:214 V:226 TV:3066
I:215 V:227 TV:3196
I:216 V:228 TV:3220
I:217 V:229 TV:3426
I:218 V:230 TV:3582
I:219 V:231 TV:3680
I:220 V:232 TV:3682
I:221 V:233 TV:2868
I:222 V:234 TV:3120
I:223 V:235 TV:3148
I:224 V:236 TV:3186
I:225 V:237 TV:3222
I:226 V:238 TV:3352
I:227 V:239 TV:3376
I:228 V:240 TV:3582
I:229 V:241 TV:3738
I:230 V:242 TV:3836
I:231 V:243 TV:3838
I:232 V:244 TV:2966
I:233 V:245 TV:3218
I:234 V:246 TV:3246
I:235 V:247 TV:3284
I:236 V:248 TV:3320
I:237 V:249 TV:3450
I:238 V:250 TV:3474
I:239 V:251 TV:3680
I:240 V:252 TV:3836
I:241 V:253 TV:3934
I:242 V:254 TV:3936
I:243 V:255 TV:2968
I:244 V:256 TV:3220
I:245 V:257 TV:3248
I:246 V:258 TV:3286
I:247 V:259 TV:3322
I:248 V:260 TV:3452
I:249 V:261 TV:3476
I:250 V:262 TV:3682
I:251 V:263 TV:3838
I:252 V:264 TV:3936
I:253 V:265 TV:3938
I:254 V:266 TV:2250
I:255 V:267 TV:2502
I:256 V:268 TV:2530
I:257 V:269 TV:2568
I:258 V:270 TV:2604
I:259 V:271 TV:2734
I:260 V:272 TV:2758
I:261 V:273 TV:2964
I:262 V:274 TV:3120
I:263 V:275 TV:3218
I:264 V:276 TV:3220
I:265 V:277 TV:2502
I:266 V:278 TV:2754
I:267 V:279 TV:2782
I:268 V:280 TV:2820
I:269 V:281 TV:2856
I:270 V:282 TV:2986
I:271 V:283 TV:3010
I:272 V:284 TV:3216
I:273 V:285 TV:3372
I:274 V:286 TV:3470
I:275 V:287 TV:3472
I:276 V:288 TV:2530
I:277 V:289 TV:2782
I:278 V:290 TV:2810
I:279 V:291 TV:2848
I:280 V:292 TV:2884
I:281 V:293 TV:3014
I:282 V:294 TV:3038
I:283 V:295 TV:3244
I:284 V:296 TV:3400
I:285 V:297 TV:3498
I:286 V:298 TV:3500
I:287 V:299 TV:2568
I:288 V:300 TV:2820
I:289 V:301 TV:2848
I:290 V:302 TV:2886
I:291 V:303 TV:2922
I:292 V:304 TV:3052
I:293 V:305 TV:3076
I:294 V:306 TV:3282
I:295 V:307 TV:3438
I:296 V:308 TV:3536
I:297 V:309 TV:3538
I:298 V:310 TV:2604
I:299 V:311 TV:2856
I:300 V:312 TV:2884
I:301 V:313 TV:2922
I:302 V:314 TV:2958
I:303 V:315 TV:3088
I:304 V:316 TV:3112
I:305 V:317 TV:3318
I:306 V:318 TV:3474
I:307 V:319 TV:3572
I:308 V:320 TV:3574
I:309 V:321 TV:2734
I:310 V:322 TV:2986
I:311 V:323 TV:3014
I:312 V:324 TV:3052
I:313 V:325 TV:3088
I:314 V:326 TV:3218
I:315 V:327 TV:3242
I:316 V:328 TV:3448
I:317 V:329 TV:3604
I:318 V:330 TV:3702
I:319 V:331 TV:3704
I:320 V:332 TV:2758
I:321 V:333 TV:3010
I:322 V:334 TV:3038
I:323 V:335 TV:3076
I:324 V:336 TV:3112
I:325 V:337 TV:3242
I:326 V:338 TV:3266
I:327 V:339 TV:3472
I:328 V:340 TV:3628
I:329 V:341 TV:3726
I:330 V:342 TV:3728
I:331 V:343 TV:2964
I:332 V:344 TV:3216
I:333 V:345 TV:3244
I:334 V:346 TV:3282
I:335 V:347 TV:3318
I:336 V:348 TV:3448
I:337 V:349 TV:3472
I:338 V:350 TV:3678
I:339 V:351 TV:3834
I:340 V:352 TV:3932
I:341 V:353 TV:3934
I:342 V:354 TV:3120
I:343 V:355 TV:3372
I:344 V:356 TV:3400
I:345 V:357 TV:3438
I:346 V:358 TV:3474
I:347 V:359 TV:3604
I:348 V:360 TV:3628
I:349 V:361 TV:3834
I:350 V:362 TV:3990
I:351 V:363 TV:4088
I:352 V:364 TV:4090
I:353 V:365 TV:3218
I:354 V:366 TV:3470
I:355 V:367 TV:3498
I:356 V:368 TV:3536
I:357 V:369 TV:3572
I:358 V:370 TV:3702
I:359 V:371 TV:3726
I:360 V:372 TV:3932
I:361 V:373 TV:4088
I:362 V:374 TV:4186
I:363 V:375 TV:4188
I:364 V:376 TV:3220
I:365 V:377 TV:3472
I:366 V:378 TV:3500
I:367 V:379 TV:3538
I:368 V:380 TV:3574
I:369 V:381 TV:3704
I:370 V:382 TV:3728
I:371 V:383 TV:3934
I:372 V:384 TV:4090
I:373 V:385 TV:4188
I:374 V:386 TV:4190
I:375 V:387 TV:2278
I:376 V:388 TV:2530
I:377 V:389 TV:2558
I:378 V:390 TV:2596
I:379 V:391 TV:2632
I:380 V:392 TV:2762
I:381 V:393 TV:2786
I:382 V:394 TV:2992
I:383 V:395 TV:3148
I:384 V:396 TV:3246
I:385 V:397 TV:3248
I:386 V:398 TV:2530
I:387 V:399 TV:2782
I:388 V:400 TV:2810
I:389 V:401 TV:2848
I:390 V:402 TV:2884
I:391 V:403 TV:3014
I:392 V:404 TV:3038
I:393 V:405 TV:3244
I:394 V:406 TV:3400
I:395 V:407 TV:3498
I:396 V:408 TV:3500
I:397 V:409 TV:2558
I:398 V:410 TV:2810
I:399 V:411 TV:2838
I:400 V:412 TV:2876
I:401 V:413 TV:2912
I:402 V:414 TV:3042
I:403 V:415 TV:3066
I:404 V:416 TV:3272
I:405 V:417 TV:3428
I:406 V:418 TV:3526
I:407 V:419 TV:3528
I:408 V:420 TV:2596
I:409 V:421 TV:2848
I:410 V:422 TV:2876
I:411 V:423 TV:2914
I:412 V:424 TV:2950
I:413 V:425 TV:3080
I:414 V:426 TV:3104
I:415 V:427 TV:3310
I:416 V:428 TV:3466
I:417 V:429 TV:3564
I:418 V:430 TV:3566
I:419 V:431 TV:2632
I:420 V:432 TV:2884
I:421 V:433 TV:2912
I:422 V:434 TV:2950
I:423 V:435 TV:2986
I:424 V:436 TV:3116
I:425 V:437 TV:3140
I:426 V:438 TV:3346
I:427 V:439 TV:3502
I:428 V:440 TV:3600
I:429 V:441 TV:3602
I:430 V:442 TV:2762
I:431 V:443 TV:3014
I:432 V:444 TV:3042
I:433 V:445 TV:3080
I:434 V:446 TV:3116
I:435 V:447 TV:3246
I:436 V:448 TV:3270
I:437 V:449 TV:3476
I:438 V:450 TV:3632
I:439 V:451 TV:3730
I:440 V:452 TV:3732
I:441 V:453 TV:2786
I:442 V:454 TV:3038
I:443 V:455 TV:3066
I:444 V:456 TV:3104
I:445 V:457 TV:3140
I:446 V:458 TV:3270
I:447 V:459 TV:3294
I:448 V:460 TV:3500
I:449 V:461 TV:3656
I:450 V:462 TV:3754
I:451 V:463 TV:3756
I:452 V:464 TV:2992
I:453 V:465 TV:3244
I:454 V:466 TV:3272
I:455 V:467 TV:3310
I:456 V:468 TV:3346
I:457 V:469 TV:3476
I:458 V:470 TV:3500
I:459 V:471 TV:3706
I:460 V:472 TV:3862
I:461 V:473 TV:3960
I:462 V:474 TV:3962
I:463 V:475 TV:3148
I:464 V:476 TV:3400
